token,link,qr_file
VRDEMO0001,https://vk.me/avatararenaomskvr?ref=VRDEMO0001,qr_png/VRDEMO0001.png
VRDEMO0002,https://vk.me/avatararenaomskvr?ref=VRDEMO0002,qr_png/VRDEMO0002.png
VRDEMO0003,https://vk.me/avatararenaomskvr?ref=VRDEMO0003,qr_png/VRDEMO0003.png
VRDEMO0004,https://vk.me/avatararenaomskvr?ref=VRDEMO0004,qr_png/VRDEMO0004.png
VRDEMO0005,https://vk.me/avatararenaomskvr?ref=VRDEMO0005,qr_png/VRDEMO0005.png
VRDEMO0006,https://vk.me/avatararenaomskvr?ref=VRDEMO0006,qr_png/VRDEMO0006.png
VRDEMO0007,https://vk.me/avatararenaomskvr?ref=VRDEMO0007,qr_png/VRDEMO0007.png
VRDEMO0008,https://vk.me/avatararenaomskvr?ref=VRDEMO0008,qr_png/VRDEMO0008.png
VRDEMO0009,https://vk.me/avatararenaomskvr?ref=VRDEMO0009,qr_png/VRDEMO0009.png
VRDEMO0010,https://vk.me/avatararenaomskvr?ref=VRDEMO0010,qr_png/VRDEMO0010.png
VRDEMO0011,https://vk.me/avatararenaomskvr?ref=VRDEMO0011,qr_png/VRDEMO0011.png
VRDEMO0012,https://vk.me/avatararenaomskvr?ref=VRDEMO0012,qr_png/VRDEMO0012.png
VRDEMO0013,https://vk.me/avatararenaomskvr?ref=VRDEMO0013,qr_png/VRDEMO0013.png
VRDEMO0014,https://vk.me/avatararenaomskvr?ref=VRDEMO0014,qr_png/VRDEMO0014.png
VRDEMO0015,https://vk.me/avatararenaomskvr?ref=VRDEMO0015,qr_png/VRDEMO0015.png
VRDEMO0016,https://vk.me/avatararenaomskvr?ref=VRDEMO0016,qr_png/VRDEMO0016.png
VRDEMO0017,https://vk.me/avatararenaomskvr?ref=VRDEMO0017,qr_png/VRDEMO0017.png
VRDEMO0018,https://vk.me/avatararenaomskvr?ref=VRDEMO0018,qr_png/VRDEMO0018.png
VRDEMO0019,https://vk.me/avatararenaomskvr?ref=VRDEMO0019,qr_png/VRDEMO0019.png
VRDEMO0020,https://vk.me/avatararenaomskvr?ref=VRDEMO0020,qr_png/VRDEMO0020.png
